Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2103.299	-2411.522	308.2228	1.400734	0.5768741	0.565132	0.434868	2.818191
6	-2102.496	-2411.261	308.7649	1.481294	0.5793913	0.712259	0.287741	2.431094
12	-2091.917	-2400.238	308.3211	1.531358	0.6026439	0.697834	0.302166	2.654896
18	-2084.783	-2393.036	308.2537	1.593301	0.4293785	0.701978	0.298022	2.830494
24	-2097.702	-2404.92	307.2179	1.44293	0.3381017	0.701978	0.298022	3.640034
30	-2112.369	-2417.424	305.0543	1.44293	0.2465946	0.649667	0.350333	4.988168
36	-2080.509	-2386.214	305.7044	1.44293	0.2558109	0.603057	0.396943	4.61189
42	-2084.256	-2391.192	306.9357	1.361963	0.3225792	0.730206	0.269794	3.869123
48	-2091.175	-2398.14	306.9643	1.241005	0.8044586	0.741882	0.258118	3.482844
54	-2101.226	-2408.57	307.3443	1.388275	0.4388035	0.741882	0.258118	3.482844
60	-2112.958	-2421.924	308.9655	1.634091	0.3215759	0.741882	0.258118	2.501135
66	-2106.1	-2413.748	307.6483	1.497509	0.5414613	0.594365	0.405635	3.137824
72	-2112.837	-2420.269	307.4311	1.331547	0.4149671	0.66422	0.33578	3.490907
78	-2112.367	-2418.548	306.1816	1.32131	0.4149671	0.688426	0.311574	4.215028
84	-2105.754	-2413.809	308.0551	1.512371	0.4210788	0.750385	0.249615	3.00842
90	-2105.701	-2413.316	307.6149	1.518665	0.359427	0.783196	0.216804	3.33777
96	-2107.753	-2414.71	306.9575	1.461132	0.5381821	0.783196	0.216804	3.568271
102	-2121.644	-2426.494	304.8503	1.285364	0.34635	0.622765	0.377235	5.058321
108	-2119.215	-2424.823	305.6077	1.169389	0.5833731	0.718437	0.281563	4.466823
114	-2098.469	-2405.79	307.3209	1.425996	0.4441277	0.741868	0.258132	3.468879
120	-2096.418	-2405.827	309.4088	1.706174	0.4201301	0.660401	0.339599	2.041749
126	-2097.355	-2406.36	309.0044	1.577254	0.7806964	0.665925	0.334075	2.041749
132	-2107.191	-2416.319	309.1273	1.612891	0.6447067	0.714847	0.285153	2.052674
138	-2104.541	-2413.782	309.2415	1.725614	0.5630607	0.72049	0.27951	1.980424
144	-2119.748	-2428.703	308.9553	1.691412	0.5758149	0.67869	0.32131	2.178667
150	-2118.105	-2426.478	308.3736	1.513939	0.6083938	0.740754	0.259246	2.628163
